Unnamed: 0,name,year,decade
388,Muammar Gaddafi,1981,1980s
389,Wojciech Jaruzelski,1981,1980s
390,Lech Walesa,1982,1980s
391,Joe Montana,1982,1980s
392,Franklin D. Roosevelt,1982,1980s
393,Steve Jobs,1982,1980s
394,Jaclyn Smith,1982,1980s
395,Henry Kissinger,1982,1980s
396,Paul Volcker,1982,1980s
397,Giorgio Armani,1982,1980s
398,Howard Baker,1982,1980s
399,John Paul II,1982,1980s
400,Gerry Cooney,1982,1980s
401,George Shultz,1982,1980s
402,Ayatullah Khomeini,1982,1980s
403,Ted Turner,1982,1980s
404,James G. Watt,1982,1980s
405,Menachem Begin,1982,1980s
406,Ariel Sharon,1982,1980s
407,Jimmy Carter,1982,1980s
408,John Updike,1982,1980s
409,John De Lorean,1982,1980s
410,Yuri Andropov,1982,1980s
411,Joseph Bernardin,1982,1980s
412,Paul Newman,1982,1980s
413,Ronald Reagan,1982,1980s
414,Miguel de la Madrid,1982,1980s
415,James Levine,1983,1980s
416,Pershing II,1983,1980s
417,Robert Mitchum,1983,1980s
418,Menachem Begin,1983,1980s
419,Princess Diana,1983,1980s
420,Franklin C. Spinney,1983,1980s
421,John Paul II,1983,1980s
422,Lee Iacocca,1983,1980s
423,Ronald Reagan,1983,1980s
424,Claude Pepper,1983,1980s
425,Nastassja Kinski,1983,1980s
426,George Lucas,1983,1980s
427,Margaret Thatcher,1983,1980s
428,John Paul II,1983,1980s
429,David Bowie,1983,1980s
430,William P. Clark,1983,1980s
431,Jesse Jackson,1983,1980s
432,Ben Colli,1983,1980s
433,Peter Ueberroth,1983,1980s
434,Ronald Reagan,1983,1980s
435,John F. Kennedy,1983,1980s
436,George Orwell,1983,1980s
437,Hafez Assad,1983,1980s
438,Ronald Reagan,1984,1980s
439,John Paul II,1984,1980s
440,Arthur Rock,1984,1980s
441,Phil Mahre,1984,1980s
442,Ronald Reagan,1984,1980s
443,Yuri Andropov,1984,1980s
444,Konstantin Chernenko,1984,1980s
445,Martin Feldstein,1984,1980s
446,Gary Hart,1984,1980s
